mid,top,bot
268.817,351.85754939606267,185.77645060393735
263.70050000000003,347.90449835518496,179.4965016448151
258.9065,342.7690039633326,175.0439960366674
253.46300000000002,334.80274627449944,172.1232537255006
249.0955,326.17961521837725,172.01138478162272
245.0145,316.1135710136217,173.9154289863783
242.6045,311.89483597118726,173.31416402881274
241.78699999999998,310.4215930562722,173.15240694372778
240.74949999999998,307.98970626827406,173.5092937317259
240.11350000000002,305.8461841913519,174.38081580864818
238.57049999999998,300.4765447694736,176.66445523052639
236.0985,294.50413817817594,177.69286182182404
233.25349999999997,286.0761725090662,180.43082749093372
230.83499999999998,280.1394405708054,181.53055942919457
228.425,275.33893673526023,181.5110632647398
226.3835,269.6800570340184,183.08694296598165
227.002,270.60331631040475,183.40068368959527
229.4605,266.85877721967955,192.0622227803204
230.311,266.6442888134279,193.9777111865721
230.7615,266.1943047295157,195.32869527048433
231.91199999999998,264.5638186936047,199.26018130639525
232.78249999999997,263.98353195408896,201.58146804591095
233.20999999999998,263.64187342245043,202.7781265775495
233.6495,263.0402104201318,204.25878957986816
233.2965,263.16863971244766,203.4243602875524
232.58499999999998,263.0837268586747,202.08627314132525
232.029,262.889241671121,201.16875832887902
231.408,261.4590316628238,201.3569683371762
231.58800000000002,262.20917215261306,200.966827847387
229.6555,253.61352034810145,205.69747965189853
228.17350000000002,246.60944562261415,209.7375543773859
228.6585,248.15257117561612,209.1644288243839
228.7995,248.47187298853396,209.12712701146603
229.49200000000002,249.74839415098336,209.23560584901668
230.808,251.18616635519547,210.42983364480452
231.686,252.82597956479626,210.54602043520376
231.57350000000002,252.5966065972641,210.55039340273595
232.1545,253.31160232994938,210.99739767005065
232.74900000000002,253.94464757208334,211.5533524279167
233.767,253.78329546144843,213.75070453855156
234.475,253.80448887063505,215.14551112936493
235.779,256.5805758056939,214.97742419430608
237.32150000000001,258.7900670457986,215.85293295420144
239.32600000000002,261.46793523610796,217.18406476389208
242.1175,267.5602167378012,216.6747832621988
245.24349999999998,273.81574896643656,216.67125103356338
247.81,276.7031874323343,218.91681256766572
249.8475,280.645700515615,219.04929948438505
250.6175,282.86064120863466,218.37435879136535
252.6895,285.9166391937376,219.46236080626244
254.715,288.0377684924283,221.3922315075717
257.015,293.1828711012971,220.84712889870286
259.7865,297.64491004321303,221.92808995678695
262.5915,302.5102080327001,222.67279196729987
265.12,306.3374230150306,223.9025769849694
267.1605,308.1385607032593,226.1824392967407
269.456,308.277013588003,230.63498641199703
271.831,308.6413870666957,235.02061293330436
274.4235,308.7673135768301,240.0796864231699
276.82550000000003,306.95669610967883,246.69430389032124
277.819,303.54526587750274,252.0927341224973
278.174,302.73596034521796,253.612039654782
278.5485,301.8358908156338,255.26110918436618
278.5395,301.8553705391847,255.22362946081523
278.154,301.8979199796496,254.41008002035042
277.406,301.59436034128754,253.21763965871244
276.0315,303.8904039805956,248.1725960194044
274.53249999999997,305.2751380618198,243.7898619381801
273.323,306.09230276951325,240.5536972304867
271.8615,306.52881098600005,237.19418901399987
270.784,306.4015245630578,235.1664754369422
268.43899999999996,304.9541776115097,231.9238223884902
266.2275,302.17828184128905,230.276718158711
263.6195,297.9747531499913,229.26424685000876
261.2655,293.24528516188025,229.2857148381197
259.649,289.81468772628887,229.48331227371114
258.27049999999997,286.715445051802,229.82555494819795
256.636,282.0223186775852,231.24968132241483
255.13649999999998,275.3364755197882,234.93652448021174
253.6355,268.2827556815256,238.98824431847441
253.4795,268.07629207908406,238.88270792091592
252.68400000000003,267.3040443227772,238.06395567722285
251.7805,266.28071996384875,237.28028003615123
250.583,266.08482066726407,235.0811793327359
249.0125,263.48431933966924,234.54068066033074
247.483,260.53336413285,234.43263586715
246.43249999999998,262.86437618624325,230.0006238137567
245.08049999999997,265.36453261188666,224.79646738811329
243.8455,266.05536310178536,221.63563689821459
242.92249999999999,266.0419782596854,219.8030217403146
241.42649999999998,265.64189945984884,217.21110054015108
240.459,265.90682026028946,215.01117973971054
239.2125,265.57849087840276,212.84650912159728
238.233,265.23008584273475,211.23591415726526
237.63299999999998,264.3317835677968,210.9342164322032
236.6915,262.4669451173987,210.9160548826013
235.79850000000002,260.27382821026026,211.32317178973975
234.677,257.7858589939012,211.5681410060988
232.9665,253.0077227920359,212.9252772079641
231.16350000000003,249.15886415302543,213.16813584697462
229.969,244.86472274178146,215.07327725821852
229.0105,242.28808935198592,215.7329106480141
228.11700000000002,239.6109464066946,216.62305359330543
228.121,239.62606479773189,216.61593520226813
227.89749999999998,238.90167352644247,216.8933264735575
227.83650000000003,238.669201002057,217.00379899794305
228.625,240.63000478967058,216.61999521032942
229.618,241.61257810846305,217.62342189153694
230.2325,242.23726884409018,218.2277311559098
230.29299999999998,242.27582120370857,218.31017879629138
231.01550000000003,242.86511345360827,219.1658865463918
232.0405,244.58983221330905,219.49116778669097
233.002,245.45712199859952,220.5468780014005
233.7855,246.00469224007762,221.5663077599224
