Id,TestData,len,datetime,open,high,low,close,volume,openinterest,label,prediction,RandomSentimentStrat,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
48,TestData,48,2020-02-18 23:59:59.999989,9691.23046875,10161.935546875,9632.3828125,10141.99609375,10141.99609375,47271023953.0,-1.0,-1.0,RandomSentimentStrat,48,737473.9999999999,Broker,48,123268.69645318709,59799.36850124548,BuySell,48,,10314.364580078123,Trades - Net Profit/Loss,48,,

49,TestData,49,2020-02-19 23:59:59.999989,10143.798828125,10191.67578125,9611.2236328125,9633.38671875,9633.38671875,46992019710.0,-1.0,1.0,RandomSentimentStrat,49,737474.9999999999,Broker,49,123268.69645318709,62982.281896489265,BuySell,49,,,Trades - Net Profit/Loss,49,,

50,TestData,50,2020-02-20 23:59:59.999989,9629.3251953125,9643.216796875,9507.900390625,9608.4755859375,9608.4755859375,44925260237.0,-1.0,1.0,RandomSentimentStrat,50,737475.9999999999,Broker,50,123268.69645318709,63138.177525270396,BuySell,50,,,Trades - Net Profit/Loss,50,,

51,TestData,51,2020-02-21 23:59:59.999989,9611.7822265625,9723.0146484375,9589.7431640625,9686.44140625,9686.44140625,40930547513.0,-1.0,1.0,RandomSentimentStrat,51,737476.9999999999,Broker,51,123268.69645318709,62650.2619145056,BuySell,51,,,Trades - Net Profit/Loss,51,,

52,TestData,52,2020-02-22 23:59:59.999989,9687.70703125,9698.2314453125,9600.728515625,9663.181640625,9663.181640625,35838025154.0,-1.0,1.0,RandomSentimentStrat,52,737477.9999999999,Broker,52,123268.69645318709,62795.82317078021,BuySell,52,,,Trades - Net Profit/Loss,52,,

53,TestData,53,2020-02-23 23:59:59.999989,9663.318359375,9937.404296875,9657.791015625,9924.515625,9924.515625,41185185761.0,-1.0,1.0,RandomSentimentStrat,53,737478.9999999999,Broker,53,123268.69645318709,61160.37663678815,BuySell,53,,,Trades - Net Profit/Loss,53,,

54,TestData,54,2020-02-24 23:59:59.999989,9921.5830078125,9951.74609375,9537.04296875,9650.1748046875,9650.1748046875,45080496648.0,-1.0,-1.0,RandomSentimentStrat,54,737479.9999999999,Broker,54,123268.69645318709,62877.220868837205,BuySell,54,,,Trades - Net Profit/Loss,54,,

55,TestData,55,2020-02-25 23:59:59.999989,9651.3125,9652.7373046875,9305.021484375,9341.705078125,9341.705078125,42515259129.0,-1.0,-1.0,RandomSentimentStrat,55,737480.9999999999,Broker,55,123268.69645318709,64807.64620695247,BuySell,55,,,Trades - Net Profit/Loss,55,,

56,TestData,56,2020-02-26 23:59:59.999989,9338.2900390625,9354.7783203125,8704.4267578125,8820.5224609375,8820.5224609375,50420050762.0,-1.0,-1.0,RandomSentimentStrat,56,737481.9999999999,Broker,56,123268.69645318709,68069.24383993812,BuySell,56,,,Trades - Net Profit/Loss,56,,

57,TestData,57,2020-02-27 23:59:59.999989,8825.09375,8932.892578125,8577.19921875,8784.494140625,8784.494140625,45470195695.0,-1.0,-1.0,RandomSentimentStrat,57,737482.9999999999,Broker,57,123268.69645318709,68294.71161337581,BuySell,57,,,Trades - Net Profit/Loss,57,,

58,TestData,58,2020-02-28 23:59:59.999989,8788.728515625,8890.4560546875,8492.9326171875,8672.455078125,8672.455078125,44605450443.0,-1.0,-1.0,RandomSentimentStrat,58,737483.9999999999,Broker,58,123268.69645318709,68995.85998057178,BuySell,58,,,Trades - Net Profit/Loss,58,,

59,TestData,59,2020-02-29 23:59:59.999989,8671.212890625,8775.6318359375,8599.5087890625,8599.5087890625,8599.5087890625,35792392544.0,-1.0,-1.0,RandomSentimentStrat,59,737484.9999999999,Broker,59,123268.69645318709,69452.36301021089,BuySell,59,,,Trades - Net Profit/Loss,59,,

60,TestData,60,2020-03-01 23:59:59.999989,8599.7587890625,8726.796875,8471.212890625,8562.4541015625,8562.4541015625,35349164300.0,-1.0,-1.0,RandomSentimentStrat,60,737485.9999999999,Broker,60,123268.69645318709,69684.25386200717,BuySell,60,,,Trades - Net Profit/Loss,60,,

